345;2
273;2
311;8
118;1
937;2
682;6
168;10
926;7
699;5
907;3
679;6
982;1
284;1
693;4
25;5
845;4
864;5
909;7
939;2
455;3
225;8
356;4
900;2
500;4
106;6
758;6
95;2
689;7
367;3
803;9
67;3
256;7
687;9
478;3
358;10
199;5
780;4
478;4
321;3
98;6
345;2
273;2
311;8
118;1
937;2
682;6
168;10
926;7
699;5
907;3
679;6
982;1
284;1
693;4
25;5
845;4
864;5
909;7
939;2
455;3
225;8
356;4
900;2
500;4
106;6
758;6
95;2
689;7
367;3
803;9
67;3
256;7
687;9
478;3
358;10
199;5
780;4
478;4
321;3
98;6
345;2
273;2
311;8
118;1
937;2
682;6
168;10
926;7
699;5
907;3
679;6
982;1
284;1
693;4
25;5
845;4
864;5
909;7
939;2
455;3
225;8
356;4
900;2
500;4
106;6
758;6
95;2
689;7
367;3
803;9
67;3
256;7
687;9
478;3
358;10
199;5
780;4
478;4
321;3
98;6
345;2
273;2
311;8
118;1
937;2
682;6
168;10
926;7
699;5
907;3
679;6
982;1
284;1
693;4
25;5
845;4
864;5
909;7
939;2
455;3
225;8
356;4
900;2
500;4
106;6
758;6
95;2
689;7
367;3
803;9
67;3
256;7
687;9
478;3
358;10
199;5
780;4
478;4
321;3
98;6
345;2
273;2
311;8
118;1
937;2
682;6
168;10
926;7
699;5
907;3
679;6
982;1
284;1
693;4
25;5
845;4
864;5
909;7
939;2
455;3
225;8
356;4
900;2
500;4
106;6
758;6
95;2
689;7
367;3
803;9
67;3
256;7
687;9
478;3
358;10
199;5
780;4
478;4
321;3
98;6
345;2
273;2
311;8
118;1
937;2
682;6
168;10
926;7
699;5
907;3
679;6
982;1
284;1
693;4
25;5
845;4
864;5
909;7
939;2
455;3
225;8
356;4
900;2
500;4
106;6
758;6
95;2
689;7
367;3
803;9
67;3
256;7
687;9
478;3
358;10
199;5
780;4
478;4
321;3
98;6
